id,seat_no,seat_name,division_id,total_voter,male_voter,female_voter,total_center,result_id,seats_area,yes,no,total_candidate
171,254,Comilla-6,2,"644,777","324,195","320,575",152,,"Comilla Adarsh ​​Sadar, Comilla City Corporation, Comilla Cantonment",,,8
172,255,Comilla-7,2,"329,166","169,361","159,799",89,,Chandina,,,5
173,256,Comilla-8,2,"380,833","196,098","184,732",103,,Barura,,,8
174,257,Comilla-9,2,"478,535","247,765","230,769",126,,"Laksam, Manoharganj",,,8
175,258,Comilla-10,2,"536,227","276,647","259,579",187,,"Nangalkot, Lalmai, Comilla Sadar South",,,7
176,259,Comilla-11,2,"421,632","216,923","204,705",125,,Chauddagram,,,7
177,260,Chandpur-1,2,"356,485","184,802","171,680",109,,"Kachua, Chandpur",,,6
178,261,Chandpur-2,2,"501,061","256,500","244,559",155,,"Matlab North,Matlab South",,,8
179,262,Chandpur-3,2,"546,334","282,704","263,628",165,,"Chandpur Sadar, Haimchar",,,7
180,263,Chandpur-4,2,"400,631","208,603","192,027",117,,Faridganj,,,8
181,264,Chandpur-5,2,"526,679","269,243","257,433",153,,"Hajiganj, Shahrasti",,,7
182,265,Feni-1,2,"385,652","198,759","186,890",115,,"Parashuram, Fulgazi, Chagalnaya",,,7
183,266,Feni-2,2,"437,078","225,881","211,194",140,,Feni Sadar,,,10
184,267,Feni-3,2,"508,194","263,227","244,965",144,,"Daganbhuiyan, Sonagazi",,,8
185,268,Noakhali-1,2,"452,425","233,711","218,714",129,,"Chatkhil, Sonaimuri (Bargaon Union, Ambernagar Union, Nateshwar Union Except)",,,7
186,269,Noakhali-2,2,"360,081","186,305","173,775",118,,"Sonaimuri (Bargaon Union, Ambernagar Union, Nateshwar Union), Senbag",,,5
187,270,Noakhali-3,2,"511,759","269,886","241,865",149,,Begamganj,,,7
188,271,Noakhali-4,2,"700,339","366,659","333,677",196,,"Noakhali Sadar, Subarnachar",,,10
189,272,Noakhali-5,2,"503,851","261,779","242,072",132,,"Kabirhat, Companyganj, Noakhali",,,9
190,273,Noakhali-6,2,"339,185","178,309","160,874",96,,Hatia,,,10
191,274,Lakshmipur-1,2,"281,302","144,658","136,644",85,,Ramganj,,,7
192,275,Lakshmipur-2,2,"493,970","254,407","239,558",146,,"Raipur, Laxmipur Sadar (North Hamchadi Union, South Hamchadi Union, Dalal Bazar Union, Char Ruhita Union, Parbatinagar Union, Bashikpur Union, Shakchar Union, Char Ramani Mohan Union, Tumchor Union)",,,7
193,276,Lakshmipur-3,2,"444,472","229,709","214,758",125,,"Laxmipur Sadar, Lakshmipur Municipality (Bangakhan Union, Dattapara Union, North Jaipur Union, chandrogonj Union, Hazirpara Union, Charshahi Union, Dighli Union, Mandari Union, Laharkandi Union, Bhavaniganj Union, Kusakhali Union,Tewariganj Union)",,,6
194,277,Lakshmipur-4,2,"418,160","218,483","199,676",120,,"Kamalnagar, Ramgati",,,9
195,278,Chittagong-1,2,"386,674","199,859","186,811",106,,Mirsarai,,,7
196,279,Chittagong-2,2,"488,465","259,197","229,267",142,,Phatikchari,,,8
197,280,Chittagong-3,2,"260,485","134,720","125,763",84,,Sandwip,,,4
198,281,Chittagong-4,2,"448,380","235,352","213,016",124,,"Sitakunda, Chittagong City Corporation (North Pahartali Ward, North Kattali Ward)",,,9
199,282,Chittagong-5,2,"501,916","260,903","241,012",146,,"Hathazari, Chittagong City Corporation (Dakshin Pahartali Ward, Jalalabad Ward)",,,6
200,283,Chittagong-6,2,"339,988","178,971","161,017",95,,Raozan,,,4
201,284,Chittagong-7,2,"319,008","167,531","151,476",103,,"Rangunia, Boalkhali (Sreepur Kharandeep Union)",,,8
202,285,Chittagong-8,2,"554,729","282,606","272,122",184,,"Boalkhali (Sreepur Kharandeep Union Except), Chittagong City Corporation (Panchlaish Ward, Chandgaon Ward, Mohra Ward, East Sholashar Ward, West Sholashar Ward)",,,6
203,286,Chittagong-9,2,"416,363","213,906","202,448",142,,"Chittagong City Corporation (15 No. Bagmaniram Ward, 16 No. Chowkbazar Ward,17 No.  West Baklia Ward,18 No.  East Baklia Ward, 19 No. South Bakalia Ward, 20 No. Dewan Bazar Ward, 21 No. Jamal Khan Ward, 22 No. Enayet Bazar Ward, 23 No. North Pathantuli Ward, 31 No. Alkaran Ward, 32 No. Underkilla Ward, 33 No. Firingi Bazar Ward, 35 No. Patharghata Ward, 36 No.Bakshi Hat Ward)",,,10
