id,seat_no,seat_name,division_id,total_voter,male_voter,female_voter,total_center,result_id,seats_area,yes,no,total_candidate
22,10,Dinajpur-5,6,"477,516","238,583","238,930",140,,"Parbatipur, Phulbari",,,7
23,11,Dinajpur-6,6,"557,692","278,086","279,593",194,,"Nawabganj, Birampur, Hakimpur, Ghoraghat",,,7
24,12,Nilphamari-1,6,"460,271","232,483","227,786",154,,"Dimla, Domar",,,8
25,13,Nilphamari-2,6,"385,785","193,034","192,749",135,,Nilphamari Sadar,,,6
26,14,Nilphamari-3,6,"294,446","149,878","144,567",105,,Jaldhaka,,,4
27,15,Nilphamari-4,6,"451,814","226,728","225,081",169,,"Kishoreganj, Saidpur",,,9
28,16,Lalmonirhat-1,6,"403,561","202,707","200,852",132,,"Patgram, Hatibandha",,,9
29,17,Lalmonirhat-2,6,"432,964","217,200","215,761",144,,"Kaliganj, Aditmari",,,7
30,18,Lalmonirhat-3,6,"307,970","154,167","153,801",89,,Lalmonirhat Sadar,,,6
249,19,Rangpur-1,6,"375,227","188,829","186,394",123,,"Gangachara, Rangpur City Corporation (Wards No. 1 to 8)",,,6
250,20,Rangpur-2,6,"380,921","192,287","188,625",136,,"Taraganj, Badarganj",,,5
252,21,Rangpur-3,6,"508,223","252,369","255,849",175,,"Rangpur Sadar, Rangpur City Corporation (Wards No. 9 to 33)",,,8
254,22,Rangpur-4,6,"509,905","250,787","259,113",163,,"Kaunia, Pirgacha",,,7
255,23,Rangpur-5,6,"469,189","232,462","236,723",150,,Mithapukur,,,10
256,24,Rangpur-6,6,"355,737","176,103","179,630",111,,Pirganj,,,6
257,25,Kurigram-1,6,"563,978","281,424","282,551",229,,"Bhurungamari, Nageshwari",,,6
258,26,Kurigram-2,6,"604,738","299,890","304,841",204,,"Phulbari, Kurigram Sadar, Rajarhat",,,9
259,27,Kurigram-3,6,"368,470","183,064","185,406",139,,Ulipur,,,6
260,28,Kurigram-4,6,"362,753","181,361","181,388",130,,"Chilmari, Raomari, Char Rajibpur",,,7
261,29,Gaibandha-1,6,"419,111","207,573","211,535",114,,Sundarganj,,,8
262,30,Gaibandha-2,6,"411,460","202,034","209,415",114,,Gaibandha Sadar,,,7
263,31,Gaibandha-3,6,"506,185","248,901","257,275",134,,"Sadullapur, Palashbari",,,10
264,32,Gaibandha-4,6,"468,384","231,616","236,758",139,,Gobindaganj,,,7
265,33,Gaibandha-5,6,"385,261","192,277","192,981",145,,"Saghata, Phulchari",,,8
135,138,Jamalpur-1,7,"431,707","216,207","215,498",127,,"Bakshiganj, Dewanganj",,,5
136,139,Jamalpur-2,7,"282,103","144,469","137,633",92,,Islampur,,,4
137,140,Jamalpur-3,7,"539,504","274,257","265,241",153,,"Melandah, Motherganj",,,9
138,141,Jamalpur-4,7,"304,992","151,527","153,464",89,,Sarishabari,,,6
139,142,Jamalpur-5,7,"576,810","281,747","295,053",159,,Jamalpur Sadar,,,8
140,143,Sherpur-1,7,"450,489","224,472","226,009",144,,Sherpur Sadar,,,6
141,144,Sherpur-2,7,"440,035","215,786","224,249",154,,"Nakla, Nalitabari",,,4
142,145,Sherpur-3,7,"413,377","205,077","208,293",126,,"Jhenaigati, Sreebardi",,,5
143,146,Mymensingh-1,7,"483,712","241,604","242,104",143,,"Dhobaura, Haluaghat",,,7
144,147,Mymensingh-2,7,"576,167","294,451","281,713",174,,"Phulpur, Tarakanda",,,7
145,148,Mymensingh-3,7,"298,268","150,780","147,487",92,,Gouripur,,,5
146,149,Mymensingh-4,7,"695,306","345,005","350,291",177,,Mymensingh Sadar,,,9
147,150,Mymensingh-5,7,"387,927","194,275","193,650",104,,Muktagacha,,,5
148,151,Mymensingh-6,7,"417,927","210,330","207,595",121,,Phulbaria,,,5
149,152,Mymensingh-7,7,"403,249","205,179","198,070",120,,Trishal,,,6
150,153,Mymensingh-8,7,"348,879","179,437","169,436",92,,Ishwarganj,,,4
151,154,Mymensingh-9,7,"384,641","198,692","185,942",121,,Nandail,,,6
152,155,Mymensingh-10,7,"409,364","209,120","200,241",111,,Gafargaon,,,9
153,156,Mymensingh-11,7,"358,659","178,020","180,636",105,,Baluka,,,5
154,157,Netrokona-1,7,"456,182","231,751","224,427",124,,"Durgapur, Kalmakanda",,,6
155,158,Netrokona-2,7,"502,438","252,379","250,047",172,,"Netrakona Sadar, Barhatta",,,5
156,159,Netrokona-3,7,"420,686","214,883","205,794",149,,"Atpara, Kendua",,,6
157,160,Netrokona-4,7,"375,308","190,313","184,982",147,,"Madan, Khaliajuri, Mohanganj",,,5
158,161,Netrokona-5,7,"290,117","147,896","142,219",81,,Purbadhala,,,3
303,224,Sunamganj-1,8,"501,555","256,185","245,360",168,,"Dharmapasha, Tahirpur, Jamalganj",,,3
304,225,Sunamganj-2,8,"306,052","154,652","151,399",111,,"Derai, Sullah",,,3
305,226,Sunamganj-3,8,"373,016","189,243","183,767",145,,"Jagannathpur, South Sunamganj",,,7
306,227,Sunamganj-4,8,"372,185","189,359","182,813",112,,"Sunamganj Sadar, Bishwamvarpur",,,5
307,228,Sunamganj-5,8,"527,458","270,620","256,836",164,,"Dowarabazar, Chatak",,,5
308,229,Sylhet-1,8,"680,946","353,186","327,747",215,,"Sylhet Sadar, Sylhet City Corporation",,,8
309,230,Sylhet-2,8,"368,932","188,679","180,253",128,,"Osmaninagar, Bishwanath",,,5
310,231,Sylhet-3,8,"416,000","211,709","204,289",151,,"Dakshin Surma, Balaganj, Fenchuganj",,,6
311,232,Sylhet-4,8,"512,933","267,130","245,802",169,,"Companiganj, Gowainghat, Jaintiapur",,,5
312,233,Sylhet-5,8,"428,748","221,357","207,391",158,,"Kanaighat, Zakiganj",,,4
313,234,Sylhet-6,8,"509,093","256,938","252,155",192,,"Beanibazar, Golapganj",,,5
314,235,Moulvibazar-1,8,"337,816","172,998","164,816",112,,"Barlekha, Juri",,,6
315,236,Moulvibazar-2,8,"303,020","157,128","145,892",103,,Kulaura,,,8
316,237,Moulvibazar-3,8,"486,212","248,109","238,099",174,,"Rajnagar, Moulvibazar Sadar",,,4
317,238,Moulvibazar-4,8,"487,892","246,202","241,688",160,,"Kamolganj, Sreemangal",,,6
318,239,Habiganj-1,8,"466,921","236,576","230,340",177,,"Bahubal, Nabiganj",,,5
319,240,Habiganj-2,8,"394,756","200,162","194,590",150,,"Baniachong,  Ajmiriganj",,,5
320,241,Habiganj-3,8,"419,573","213,298","206,262",131,,"Lakhai, Habiganj Sadar, Shayestaganj",,,6
321,242,Habiganj-4,8,"552,711","278,660","274,049",177,,"Chunarughat, Madhabpur",,,9
