seat_no,seat,district,division,region,voters,male_voters,female_voters,thirdgender_voters
153,Mymensingh-8,Mymensingh,Mymensingh,Rural,348879,179437,169436,6
154,Mymensingh-9,Mymensingh,Mymensingh,Rural,384641,198692,185942,7
155,Mymensingh-10,Mymensingh,Mymensingh,Rural,409364,209120,200241,3
156,Mymensingh-11,Mymensingh,Mymensingh,Rural,358659,178020,180636,3
157,Netrokona-1,Netrokona,Mymensingh,Rural,456182,231751,224427,4
158,Netrokona-2,Netrokona,Mymensingh,Urban,502438,252379,250047,12
159,Netrokona-3,Netrokona,Mymensingh,Rural,420686,214883,205794,9
160,Netrokona-4,Netrokona,Mymensingh,Rural,375308,190313,184982,13
161,Netrokona-5,Netrokona,Mymensingh,Rural,290117,147896,142219,2
162,Kishoreganj-1,Kishoreganj,Dhaka,Urban,555136,280657,274476,3
163,Kishoreganj-2,Kishoreganj,Dhaka,Rural,532516,268568,263939,9
164,Kishoreganj-3,Kishoreganj,Dhaka,Rural,448625,230210,218412,3
165,Kishoreganj-4,Kishoreganj,Dhaka,Rural,408352,211182,197166,4
166,Kishoreganj-5,Kishoreganj,Dhaka,Rural,353566,182452,171108,6
167,Kishoreganj-6,Kishoreganj,Dhaka,Rural,428804,221114,207687,3
168,Manikganj-1,Manikganj,Dhaka,Rural,461942,231857,230081,4
169,Manikganj-2,Manikganj,Dhaka,Rural,472622,237205,235413,4
170,Manikganj-3,Manikganj,Dhaka,Urban,400059,199398,200660,1
171,Munshiganj-1,Munshiganj,Dhaka,Rural,545519,280716,264802,1
172,Munshiganj-2,Munshiganj,Dhaka,Rural,378492,194720,183772,0
173,Munshiganj-3,Munshiganj,Dhaka,Urban,509467,263075,246390,2
174,Dhaka-1,Dhaka,Dhaka,Rural,545140,276050,269085,5
175,Dhaka-2,Dhaka,Dhaka,Urban,419215,217908,201298,9
176,Dhaka-3,Dhaka,Dhaka,Urban,362159,184971,177184,4
177,Dhaka-4,Dhaka,Dhaka,Urban,362506,186467,176034,5
178,Dhaka-5,Dhaka,Dhaka,Urban,419996,214594,205397,5
179,Dhaka-6,Dhaka,Dhaka,Urban,292283,152519,139761,3
180,Dhaka-7,Dhaka,Dhaka,Urban,479376,248481,230883,12
181,Dhaka-8,Dhaka,Dhaka,Urban,275471,152795,122675,1
182,Dhaka-9,Dhaka,Dhaka,Urban,469360,237673,231682,5
183,Dhaka-10,Dhaka,Dhaka,Urban,388660,204604,184050,6
184,Dhaka-11,Dhaka,Dhaka,Urban,439078,222877,216198,3
185,Dhaka-12,Dhaka,Dhaka,Urban,333320,174349,158968,3
186,Dhaka-13,Dhaka,Dhaka,Urban,408791,209812,198971,8
187,Dhaka-14,Dhaka,Dhaka,Urban,456044,232066,223974,4
188,Dhaka-15,Dhaka,Dhaka,Urban,351718,179616,172098,4
189,Dhaka-16,Dhaka,Dhaka,Urban,400499,201168,199323,8
190,Dhaka-17,Dhaka,Dhaka,Urban,333777,174709,159060,8
191,Dhaka-18,Dhaka,Dhaka,Urban,613883,313050,300827,6
192,Dhaka-19,Dhaka,Dhaka,Urban,747070,379906,367151,13
193,Dhaka-20,Dhaka,Dhaka,Rural,376639,187835,188802,2
194,Gazipur-1,Gazipur,Dhaka,Rural,720939,360234,360693,12
195,Gazipur-2,Gazipur,Dhaka,Urban,804333,400402,403918,13
196,Gazipur-3,Gazipur,Dhaka,Rural,527360,260191,267162,7
197,Gazipur-4,Gazipur,Dhaka,Rural,330977,164429,166548,0
198,Gazipur-5,Gazipur,Dhaka,Rural,354643,179093,175548,2
199,Narsingdi-1,Narsingdi,Dhaka,Urban,477209,243945,233252,12
200,Narsingdi-2,Narsingdi,Dhaka,Rural,286218,145235,140978,5
201,Narsingdi-3,Narsingdi,Dhaka,Rural,284248,142947,141300,1
202,Narsingdi-4,Narsingdi,Dhaka,Rural,428954,212677,216274,3
203,Narsingdi-5,Narsingdi,Dhaka,Rural,494650,255570,239065,15
204,Narayanganj-1,Narayanganj,Dhaka,Urban,408829,207849,200977,3
205,Narayanganj-2,Narayanganj,Dhaka,Rural,364098,187801,176292,5
206,Narayanganj-3,Narayanganj,Dhaka,Urban,593348,302290,291055,3
207,Narayanganj-4,Narayanganj,Dhaka,Urban,540783,273715,267062,6
208,Narayanganj-5,Narayanganj,Dhaka,Urban,485288,243768,241512,8
209,Rajbari-1,Rajbari,Dhaka,Urban,430216,216150,214058,8
210,Rajbari-2,Rajbari,Dhaka,Rural,559696,285544,274146,6
211,Faridpur-1,Faridpur,Dhaka,Rural,510540,259335,251204,1
212,Faridpur-2,Faridpur,Dhaka,Rural,332041,172904,159137,0
213,Faridpur-3,Faridpur,Dhaka,Urban,432628,216022,216600,6
214,Faridpur-4,Faridpur,Dhaka,Rural,496706,254655,242050,1
215,Gopalganj-1,Gopalganj,Dhaka,Rural,399510,202816,196694,0
216,Gopalganj-2,Gopalganj,Dhaka,Urban,384326,194060,190262,4
217,Gopalganj-3,Gopalganj,Dhaka,Rural,308784,158403,150380,1
218,Madaripur-1,Madaripur,Dhaka,Rural,324289,169041,155246,2
219,Madaripur-2,Madaripur,Dhaka,Urban,436233,223624,212601,8
220,Madaripur-3,Madaripur,Dhaka,Rural,387806,202645,185159,2
221,Shariatpur-1,Shariatpur,Dhaka,Urban,395476,207730,187736,10
222,Shariatpur-2,Shariatpur,Dhaka,Rural,415135,215993,199140,2
223,Shariatpur-3,Shariatpur,Dhaka,Rural,340142,174068,166072,2
224,Sunamganj-1,Sunamganj,Sylhet,Rural,501555,256185,245360,10
225,Sunamganj-2,Sunamganj,Sylhet,Rural,306052,154652,151399,1
226,Sunamganj-3,Sunamganj,Sylhet,Rural,373016,189243,183767,6
227,Sunamganj-4,Sunamganj,Sylhet,Urban,372185,189359,182813,13
228,Sunamganj-5,Sunamganj,Sylhet,Rural,527458,270620,256836,2
229,Sylhet-1,Sylhet,Sylhet,Urban,680946,353186,327747,13
230,Sylhet-2,Sylhet,Sylhet,Rural,368932,188679,180253,0
231,Sylhet-3,Sylhet,Sylhet,Rural,416000,211709,204289,2
232,Sylhet-4,Sylhet,Sylhet,Rural,512933,267130,245802,1
233,Sylhet-5,Sylhet,Sylhet,Rural,428748,221357,207391,0
234,Sylhet-6,Sylhet,Sylhet,Rural,509093,256938,252155,0
235,Moulvibazar-1,Moulvibazar,Sylhet,Rural,337816,172998,164816,2
236,Moulvibazar-2,Moulvibazar,Sylhet,Rural,303020,157128,145892,0
237,Moulvibazar-3,Moulvibazar,Sylhet,Urban,486212,248109,238099,4
238,Moulvibazar-4,Moulvibazar,Sylhet,Rural,487892,246202,241688,2
239,Habiganj-1,Habiganj,Sylhet,Rural,466921,236576,230340,5
240,Habiganj-2,Habiganj,Sylhet,Rural,394756,200162,194590,4
241,Habiganj-3,Habiganj,Sylhet,Urban,419573,213298,206262,13
242,Habiganj-4,Habiganj,Sylhet,Rural,552711,278660,274049,2
243,Brahmanbaria-1,Brahmanbaria,Chittagong,Rural,275629,146269,129357,3
244,Brahmanbaria-2,Brahmanbaria,Chittagong,Rural,499448,265245,234201,2
245,Brahmanbaria-3,Brahmanbaria,Chittagong,Urban,624601,328182,296419,0
246,Brahmanbaria-4,Brahmanbaria,Chittagong,Rural,443909,230647,213256,6
247,Brahmanbaria-5,Brahmanbaria,Chittagong,Rural,474826,248737,226085,4
248,Brahmanbaria-6,Brahmanbaria,Chittagong,Rural,289674,147260,142413,1
249,Comilla-1,Comilla,Chittagong,Rural,438616,225088,213528,0
250,Comilla-2,Comilla,Chittagong,Rural,375067,196119,178947,1
251,Comilla-3,Comilla,Chittagong,Rural,500726,258905,241817,4
252,Comilla-4,Comilla,Chittagong,Rural,410559,215237,195319,3
253,Comilla-5,Comilla,Chittagong,Rural,476172,247155,229017,0
254,Comilla-6,Comilla,Chittagong,Urban,644777,324195,320575,7
255,Comilla-7,Comilla,Chittagong,Rural,329166,169361,159799,6
256,Comilla-8,Comilla,Chittagong,Rural,380833,196098,184732,3
257,Comilla-9,Comilla,Chittagong,Rural,478535,247765,230769,1
258,Comilla-10,Comilla,Chittagong,Rural,536227,276647,259579,1
259,Comilla-11,Comilla,Chittagong,Rural,421632,216923,204705,4
260,Chandpur-1,Chandpur,Chittagong,Rural,356485,184802,171680,3
261,Chandpur-2,Chandpur,Chittagong,Rural,501061,256500,244559,2
262,Chandpur-3,Chandpur,Chittagong,Urban,546334,282704,263628,2
263,Chandpur-4,Chandpur,Chittagong,Rural,400631,208603,192027,1
264,Chandpur-5,Chandpur,Chittagong,Rural,526679,269243,257433,3
265,Feni-1,Feni,Chittagong,Rural,385652,198759,186890,3
266,Feni-2,Feni,Chittagong,Urban,437078,225881,211194,3
267,Feni-3,Feni,Chittagong,Rural,508194,263227,244965,2
268,Noakhali-1,Noakhali,Chittagong,Rural,452425,233711,218714,0
269,Noakhali-2,Noakhali,Chittagong,Rural,360081,186305,173775,1
270,Noakhali-3,Noakhali,Chittagong,Rural,511759,269886,241865,8
271,Noakhali-4,Noakhali,Chittagong,Urban,700339,366659,333677,3
272,Noakhali-5,Noakhali,Chittagong,Rural,503851,261779,242072,0
273,Noakhali-6,Noakhali,Chittagong,Rural,339185,178309,160874,2
274,Lakshmipur-1,Lakshmipur,Chittagong,Rural,281302,144658,136644,0
275,Lakshmipur-2,Lakshmipur,Chittagong,Rural,493970,254407,239558,5
276,Lakshmipur-3,Lakshmipur,Chittagong,Urban,444472,229709,214758,5
277,Lakshmipur-4,Lakshmipur,Chittagong,Rural,418160,218483,199676,1
278,Chittagong-1,Chittagong,Chittagong,Rural,386674,199859,186811,4
279,Chittagong-2,Chittagong,Chittagong,Rural,488465,259197,229267,1
280,Chittagong-3,Chittagong,Chittagong,Rural,260485,134720,125763,2
281,Chittagong-4,Chittagong,Chittagong,Rural,448380,235352,213016,12
282,Chittagong-5,Chittagong,Chittagong,Rural,501916,260903,241012,1
283,Chittagong-6,Chittagong,Chittagong,Rural,339988,178971,161017,0
284,Chittagong-7,Chittagong,Chittagong,Rural,319008,167531,151476,1
285,Chittagong-8,Chittagong,Chittagong,Rural,554729,282606,272122,1
286,Chittagong-9,Chittagong,Chittagong,Urban,416363,213906,202448,9
287,Chittagong-10,Chittagong,Chittagong,Urban,492444,249784,242631,29
288,Chittagong-11,Chittagong,Chittagong,Urban,495278,252333,242942,3
289,Chittagong-12,Chittagong,Chittagong,Rural,352695,184254,168440,1
290,Chittagong-13,Chittagong,Chittagong,Rural,395246,207714,187532,0
291,Chittagong-14,Chittagong,Chittagong,Rural,313513,165847,147665,1
292,Chittagong-15,Chittagong,Chittagong,Rural,506059,270915,235144,0
293,Chittagong-16,Chittagong,Chittagong,Rural,411274,219982,191287,5
294,Cox's Bazar-1,Cox's Bazar,Chittagong,Rural,540490,290291,250198,1
295,Cox's Bazar-2,Cox's Bazar,Chittagong,Rural,387851,206453,181398,0
296,Cox's Bazar-3,Cox's Bazar,Chittagong,Urban,545962,291099,254862,1
297,Cox's Bazar-4,Cox's Bazar,Chittagong,Rural,375688,192803,182879,6
298,Khagrachari,Khagrachari,Chittagong,Rural,554119,280206,273909,4
299,Rangamati,Rangamati,Chittagong,Rural,509272,263411,245859,2
300,Bandarban,Bandarban,Chittagong,Rural,315422,161775,153647,0
