seat_name,party,name,vote,center,division_id,total_center,time,source,voters,male_voters,female_voters,thirdgender_voters,vote_pc
Lalmonirhat-2,CPB,Prabhat Samir Shahjahan Alam,,,6,144,2026-02-12 15:56:06.220455+00:00,dt,432964.0,217200.0,215761.0,3.0,
Lalmonirhat-2,Islami Andolan Bangladesh,Md. Al Amin,,,6,144,2026-02-12 15:56:06.220455+00:00,dt,432964.0,217200.0,215761.0,3.0,
Lalmonirhat-2,JaPa,Hafiz Uddin Ahmed,,,6,144,2026-02-12 15:56:06.220455+00:00,dt,432964.0,217200.0,215761.0,3.0,
Lalmonirhat-2,Jamaat,Md. Mizanur Rahman,,,6,144,2026-02-12 15:56:06.220455+00:00,dt,432964.0,217200.0,215761.0,3.0,
Lalmonirhat-3,BNP,Md. Manjurul Islam,,,6,89,2026-02-12 15:56:06.220455+00:00,dt,307970.0,154167.0,153801.0,2.0,
Lalmonirhat-3,Islami Andolan Bangladesh,Md. Chan Mia,,,6,89,2026-02-12 15:56:06.220455+00:00,dt,307970.0,154167.0,153801.0,2.0,
Lalmonirhat-3,JaPa,Md. Shahinur Islam,,,6,89,2026-02-12 15:56:06.220455+00:00,dt,307970.0,154167.0,153801.0,2.0,
Lalmonirhat-3,Jamaat,Md. Matiur Rahman,,,6,89,2026-02-12 15:56:06.220455+00:00,dt,307970.0,154167.0,153801.0,2.0,
Moulvibazar-1,BNP,Md. Abdullah,,,8,112,2026-02-12 15:56:06.220455+00:00,dt,337816.0,172998.0,164816.0,2.0,
Moulvibazar-1,CPB,Abdur Rahman,,,8,112,2026-02-12 15:56:06.220455+00:00,dt,337816.0,172998.0,164816.0,2.0,
Moulvibazar-1,Islami Andolan Bangladesh,Md. Atiqur Rahman Khan,,,8,112,2026-02-12 15:56:06.220455+00:00,dt,337816.0,172998.0,164816.0,2.0,
Moulvibazar-1,Jamaat,A. K. M. Fakhruddin Razi,,,8,112,2026-02-12 15:56:06.220455+00:00,dt,337816.0,172998.0,164816.0,2.0,
Moulvibazar-2,BNP,Abdus Salam Azad,,,8,103,2026-02-12 15:56:06.220455+00:00,dt,303020.0,157128.0,145892.0,0.0,
Moulvibazar-2,Islami Andolan Bangladesh,K. M. Billal,,,8,103,2026-02-12 15:56:06.220455+00:00,dt,303020.0,157128.0,145892.0,0.0,
Moulvibazar-2,JaPa,Md. Noman Mia,,,8,103,2026-02-12 15:56:06.220455+00:00,dt,303020.0,157128.0,145892.0,0.0,
Moulvibazar-2,NCP,Majedul Islam,,,8,103,2026-02-12 15:56:06.220455+00:00,dt,303020.0,157128.0,145892.0,0.0,
Moulvibazar-3,BNP,Md. Kamruzzaman,,,8,174,2026-02-12 15:56:06.220455+00:00,dt,486212.0,248109.0,238099.0,4.0,
Moulvibazar-3,Bangladesh Khelafat Majlish,Noor Hossain Noorani,,,8,174,2026-02-12 15:56:06.220455+00:00,dt,486212.0,248109.0,238099.0,4.0,
Moulvibazar-3,CPB,Sheikh Md. Kamal Hossain,,,8,174,2026-02-12 15:56:06.220455+00:00,dt,486212.0,248109.0,238099.0,4.0,
Moulvibazar-3,Islami Andolan Bangladesh,Suman Dewan,,,8,174,2026-02-12 15:56:06.220455+00:00,dt,486212.0,248109.0,238099.0,4.0,
Moulvibazar-3,JaPa,Md. Arifuzzaman (Didar),,,8,174,2026-02-12 15:56:06.220455+00:00,dt,486212.0,248109.0,238099.0,4.0,
Moulvibazar-4,BNP,Khandaker Abu Ashfaq,5689.0,8.0,8,160,2026-02-12 15:56:06.220455+00:00,dt,487892.0,246202.0,241688.0,2.0,1.17
Moulvibazar-4,Islami Andolan Bangladesh,Nurul Islam,,8.0,8,160,2026-02-12 15:56:06.220455+00:00,dt,487892.0,246202.0,241688.0,2.0,
Moulvibazar-4,JaPa,Md. Nasir Uddin Molla,,8.0,8,160,2026-02-12 15:56:06.220455+00:00,dt,487892.0,246202.0,241688.0,2.0,
Moulvibazar-4,Jamaat,Mohammad Nazrul Islam,5599.0,8.0,8,160,2026-02-12 15:56:06.220455+00:00,dt,487892.0,246202.0,241688.0,2.0,1.15
Mymensingh-1,BNP,Md. Abu Wahab Akand Wahid,,,7,143,2026-02-12 15:56:06.220455+00:00,dt,483712.0,241604.0,242104.0,4.0,
Mymensingh-1,CPB,Emdadul Haque Millat,,,7,143,2026-02-12 15:56:06.220455+00:00,dt,483712.0,241604.0,242104.0,4.0,
Mymensingh-1,Ganosamhati Andolon (Saki),Mostafizur Rahman,,,7,143,2026-02-12 15:56:06.220455+00:00,dt,483712.0,241604.0,242104.0,4.0,
Mymensingh-1,Islami Andolan Bangladesh,Md. Nasir Uddin,,,7,143,2026-02-12 15:56:06.220455+00:00,dt,483712.0,241604.0,242104.0,4.0,
Mymensingh-1,JaPa,Abu Md. Musa Sarkar,,,7,143,2026-02-12 15:56:06.220455+00:00,dt,483712.0,241604.0,242104.0,4.0,
Mymensingh-1,Jamaat,Mohammad Kamrul Ahsan,,,7,143,2026-02-12 15:56:06.220455+00:00,dt,483712.0,241604.0,242104.0,4.0,
Mymensingh-10,BNP,Md. Anwarul Haque,,,7,111,2026-02-12 15:56:06.220455+00:00,dt,409364.0,209120.0,200241.0,3.0,
Mymensingh-10,Islami Andolan Bangladesh,Abdul Qayyum,,,7,111,2026-02-12 15:56:06.220455+00:00,dt,409364.0,209120.0,200241.0,3.0,
Mymensingh-10,JaPa,A. B. M. Rafiqul Haque Talukder,,,7,111,2026-02-12 15:56:06.220455+00:00,dt,409364.0,209120.0,200241.0,3.0,
Mymensingh-10,NCP,Md. Fahim Rahman Khan Pathan,,,7,111,2026-02-12 15:56:06.220455+00:00,dt,409364.0,209120.0,200241.0,3.0,
Mymensingh-11,BNP,Rafiqul Islam Hilali,,,7,105,2026-02-12 15:56:06.220455+00:00,dt,358659.0,178020.0,180636.0,3.0,
Mymensingh-11,Islami Andolan Bangladesh,Md. Zakir Hossain,,,7,105,2026-02-12 15:56:06.220455+00:00,dt,358659.0,178020.0,180636.0,3.0,
Mymensingh-11,JaPa,Md. Abul Hossain Talukder,,,7,105,2026-02-12 15:56:06.220455+00:00,dt,358659.0,178020.0,180636.0,3.0,
Mymensingh-11,Jamaat,Md. Khairul Kabir Niyogi,,,7,105,2026-02-12 15:56:06.220455+00:00,dt,358659.0,178020.0,180636.0,3.0,
Mymensingh-2,AB Party,Md. Rafiqul Islam,,,7,174,2026-02-12 15:56:06.220455+00:00,dt,576167.0,294451.0,281713.0,3.0,
Mymensingh-2,BNP,Mohammad Zakir Hossain,,,7,174,2026-02-12 15:56:06.220455+00:00,dt,576167.0,294451.0,281713.0,3.0,
Mymensingh-2,Ganosamhati Andolon (Saki),Mohammad Nazrul Islam,,,7,174,2026-02-12 15:56:06.220455+00:00,dt,576167.0,294451.0,281713.0,3.0,
Mymensingh-2,Islami Andolan Bangladesh,Mohammad Sirajul Islam,,,7,174,2026-02-12 15:56:06.220455+00:00,dt,576167.0,294451.0,281713.0,3.0,
Mymensingh-2,Jamaat,Md. Matiur Rahman Akand,,,7,174,2026-02-12 15:56:06.220455+00:00,dt,576167.0,294451.0,281713.0,3.0,
Mymensingh-3,BNP,Md. Akhtarul Alam,,,7,92,2026-02-12 15:56:06.220455+00:00,dt,298268.0,150780.0,147487.0,1.0,
Mymensingh-3,Islami Andolan Bangladesh,Md. Nure Alam Siddique,,,7,92,2026-02-12 15:56:06.220455+00:00,dt,298268.0,150780.0,147487.0,1.0,
Mymensingh-3,Jamaat,Md. Kamrul Hasan,,,7,92,2026-02-12 15:56:06.220455+00:00,dt,298268.0,150780.0,147487.0,1.0,
Mymensingh-4,BNP,Dr. Md. Mahabubur Rahman,,,7,177,2026-02-12 15:56:06.220455+00:00,dt,695306.0,345005.0,350291.0,10.0,
Mymensingh-4,Islami Andolan Bangladesh,Md. Ibrahim Khalilullah,,,7,177,2026-02-12 15:56:06.220455+00:00,dt,695306.0,345005.0,350291.0,10.0,
Mymensingh-4,JaPa,Md. Jahirul Islam,,,7,177,2026-02-12 15:56:06.220455+00:00,dt,695306.0,345005.0,350291.0,10.0,
Mymensingh-4,Jamaat,Md. Asaduzzaman,,,7,177,2026-02-12 15:56:06.220455+00:00,dt,695306.0,345005.0,350291.0,10.0,
Mymensingh-5,BNP,Lutfullah-el-Mazed,,,7,104,2026-02-12 15:56:06.220455+00:00,dt,387927.0,194275.0,193650.0,2.0,
Mymensingh-5,Islami Andolan Bangladesh,Shah Nurul Kabir,,,7,104,2026-02-12 15:56:06.220455+00:00,dt,387927.0,194275.0,193650.0,2.0,
Mymensingh-5,JaPa,Fakhrul Imam,,,7,104,2026-02-12 15:56:06.220455+00:00,dt,387927.0,194275.0,193650.0,2.0,
Mymensingh-6,BNP,Yaser Khan Chowdhury,,,7,121,2026-02-12 15:56:06.220455+00:00,dt,417927.0,210330.0,207595.0,2.0,
Mymensingh-6,Gano Forum,Md. Latiful Bari (Hamim),,,7,121,2026-02-12 15:56:06.220455+00:00,dt,417927.0,210330.0,207595.0,2.0,
Mymensingh-6,Islami Andolan Bangladesh,Md. Saeedur Rahman,,,7,121,2026-02-12 15:56:06.220455+00:00,dt,417927.0,210330.0,207595.0,2.0,
Mymensingh-6,JaPa,Hasmat Mahmud,,,7,121,2026-02-12 15:56:06.220455+00:00,dt,417927.0,210330.0,207595.0,2.0,
Mymensingh-7,BNP,Mohammad Akhtaruzzaman,,,7,120,2026-02-12 15:56:06.220455+00:00,dt,403249.0,205179.0,198070.0,0.0,
Mymensingh-7,CPB,Md. Saifus Salehin,,,7,120,2026-02-12 15:56:06.220455+00:00,dt,403249.0,205179.0,198070.0,0.0,
Mymensingh-7,Ganosamhati Andolon (Saki),A. K. M. Shamsul Alam,,,7,120,2026-02-12 15:56:06.220455+00:00,dt,403249.0,205179.0,198070.0,0.0,
Mymensingh-7,Islami Andolan Bangladesh,Md. Habibullah Belali,,,7,120,2026-02-12 15:56:06.220455+00:00,dt,403249.0,205179.0,198070.0,0.0,
Mymensingh-7,JaPa,Md. Al Amin (Sohan),,,7,120,2026-02-12 15:56:06.220455+00:00,dt,403249.0,205179.0,198070.0,0.0,
Mymensingh-7,Jamaat,Md. Ismail,,,7,120,2026-02-12 15:56:06.220455+00:00,dt,403249.0,205179.0,198070.0,0.0,
Mymensingh-8,BNP,Fakhr Uddin Ahmed,,,7,92,2026-02-12 15:56:06.220455+00:00,dt,348879.0,179437.0,169436.0,6.0,
Mymensingh-8,Islami Andolan Bangladesh,Md. Mostafa Kamal,,,7,92,2026-02-12 15:56:06.220455+00:00,dt,348879.0,179437.0,169436.0,6.0,
Mymensingh-8,NCP,Zahidul Islam,,,7,92,2026-02-12 15:56:06.220455+00:00,dt,348879.0,179437.0,169436.0,6.0,
Mymensingh-9,BNP,Barrister Kaiser Kamal,,,7,121,2026-02-12 15:56:06.220455+00:00,dt,384641.0,198692.0,185942.0,7.0,
Mymensingh-9,Bangladesh Khelafat Majlish,Golam Rabbani,,,7,121,2026-02-12 15:56:06.220455+00:00,dt,384641.0,198692.0,185942.0,7.0,
Mymensingh-9,CPB,Md. Alkas Uddin Mir,,,7,121,2026-02-12 15:56:06.220455+00:00,dt,384641.0,198692.0,185942.0,7.0,
Mymensingh-9,Islami Andolan Bangladesh,Md. Abdul Mannan (Sohag),,,7,121,2026-02-12 15:56:06.220455+00:00,dt,384641.0,198692.0,185942.0,7.0,
Mymensingh-9,JaPa,Md. Anwar Hossain Khan,,,7,121,2026-02-12 15:56:06.220455+00:00,dt,384641.0,198692.0,185942.0,7.0,
Naogaon-1,BNP,Ikramul Bari Tipu,63662.0,53.0,5,165,2026-02-12 15:56:06.220455+00:00,dt,474067.0,235379.0,238684.0,4.0,13.43
