seat_no,name,vote,party,alliance,seat,district,division,region,voters,male_voters,female_voters,thirdgender_voters,time,vote_pc
37,আবুল আজাদ মোহাম্মদ শাহাদুজ্জামান,93548,Jamaat,Jamaat-NCP,Bogra-2,Bogra,Rajshahi,Rural,342155.0,171497.0,170653.0,5.0,2026-02-14 14:42:37.115645+00:00,27.34
38,মোঃ আব্দুল মহিত তালুকদার,127406,BNP,BNP,Bogra-3,Bogra,Rajshahi,Rural,339181.0,169347.0,169831.0,3.0,2026-02-14 14:42:37.115645+00:00,37.56
38,নূর মোহাম্মদ,111026,Jamaat,Jamaat-NCP,Bogra-3,Bogra,Rajshahi,Rural,339181.0,169347.0,169831.0,3.0,2026-02-14 14:42:37.115645+00:00,32.73
39,মোঃ মোশারফ হোসেন,155339,BNP,BNP,Bogra-4,Bogra,Rajshahi,Rural,359523.0,178985.0,180530.0,8.0,2026-02-14 14:42:37.115645+00:00,43.21
39,মোঃ মোস্তফা ফয়সাল,108978,Jamaat,Jamaat-NCP,Bogra-4,Bogra,Rajshahi,Rural,359523.0,178985.0,180530.0,8.0,2026-02-14 14:42:37.115645+00:00,30.31
40,গোলাম মোহাম্মদ সিরাজ,248848,BNP,BNP,Bogra-5,Bogra,Rajshahi,Rural,572340.0,281287.0,291047.0,6.0,2026-02-14 14:42:37.115645+00:00,43.48
40,মোঃ দবিবুর রহমান,143329,Jamaat,Jamaat-NCP,Bogra-5,Bogra,Rajshahi,Rural,572340.0,281287.0,291047.0,6.0,2026-02-14 14:42:37.115645+00:00,25.04
41,তারেক রহমান,216284,BNP,BNP,Bogra-6,Bogra,Rajshahi,Urban,454043.0,222796.0,231237.0,10.0,2026-02-14 14:42:37.115645+00:00,47.64
41,মোঃ আবিদুর রহমান,97626,Jamaat,Jamaat-NCP,Bogra-6,Bogra,Rajshahi,Urban,454043.0,222796.0,231237.0,10.0,2026-02-14 14:42:37.115645+00:00,21.5
42,মোরশেদ মিলটন,262501,BNP,BNP,Bogra-7,Bogra,Rajshahi,Rural,538092.0,270070.0,268017.0,5.0,2026-02-14 14:42:37.115645+00:00,48.78
42,মোঃ গোলাম রব্বানী,115000,Jamaat,Jamaat-NCP,Bogra-7,Bogra,Rajshahi,Rural,538092.0,270070.0,268017.0,5.0,2026-02-14 14:42:37.115645+00:00,21.37
243,"এম, এ, হান্নান",68092,BNP,BNP,Brahmanbaria-1,Brahmanbaria,Chittagong,Rural,275629.0,146269.0,129357.0,3.0,2026-02-14 14:42:37.115645+00:00,24.7
243,"এ, কে, এম কামরুজ্জামান",35220,Independent,no alliance,Brahmanbaria-1,Brahmanbaria,Chittagong,Rural,275629.0,146269.0,129357.0,3.0,2026-02-14 14:42:37.115645+00:00,12.78
244,রুমিন ফারহানা,118547,Independent,no alliance,Brahmanbaria-2,Brahmanbaria,Chittagong,Rural,499448.0,265245.0,234201.0,2.0,2026-02-14 14:42:37.115645+00:00,23.74
244,মোহাম্মদ জুনায়েদ আল হাবীব,80434,Jamiat Ulema-e-Islam Bangladesh,BNP,Brahmanbaria-2,Brahmanbaria,Chittagong,Rural,499448.0,265245.0,234201.0,2.0,2026-02-14 14:42:37.115645+00:00,16.1
245,মোঃ খালেদ হোসেন মাহবুব,209636,BNP,BNP,Brahmanbaria-3,Brahmanbaria,Chittagong,Urban,624601.0,328182.0,296419.0,0.0,2026-02-14 14:42:37.115645+00:00,33.56
245,আতাউল্লাহ,62547,NCP,Jamaat-NCP,Brahmanbaria-3,Brahmanbaria,Chittagong,Urban,624601.0,328182.0,296419.0,0.0,2026-02-14 14:42:37.115645+00:00,10.01
246,মুশফিকুর রহমান,139842,BNP,BNP,Brahmanbaria-4,Brahmanbaria,Chittagong,Rural,443909.0,230647.0,213256.0,6.0,2026-02-14 14:42:37.115645+00:00,31.5
246,মোঃ আতাউর রহমান সরকার,91796,Jamaat,Jamaat-NCP,Brahmanbaria-4,Brahmanbaria,Chittagong,Rural,443909.0,230647.0,213256.0,6.0,2026-02-14 14:42:37.115645+00:00,20.68
247,মোঃ আবদুল মান্নান,85769,BNP,BNP,Brahmanbaria-5,Brahmanbaria,Chittagong,Rural,474826.0,248737.0,226085.0,4.0,2026-02-14 14:42:37.115645+00:00,18.06
247,কাজী নাজমুল হোসেন,84708,Independent,no alliance,Brahmanbaria-5,Brahmanbaria,Chittagong,Rural,474826.0,248737.0,226085.0,4.0,2026-02-14 14:42:37.115645+00:00,17.84
248,মোঃ জোনায়েদ আব্দুর রহিম সাকি,95342,Ganosamhati Andolon (Saki),BNP,Brahmanbaria-6,Brahmanbaria,Chittagong,Rural,289674.0,147260.0,142413.0,1.0,2026-02-14 14:42:37.115645+00:00,32.91
248,মোঃ মহসীন,39967,Jamaat,Jamaat-NCP,Brahmanbaria-6,Brahmanbaria,Chittagong,Rural,289674.0,147260.0,142413.0,1.0,2026-02-14 14:42:37.115645+00:00,13.8
260,আ ন ম এহছানুল হক মিলন,133032,BNP,BNP,Chandpur-1,Chandpur,Chittagong,Rural,356485.0,184802.0,171680.0,3.0,2026-02-14 14:42:37.115645+00:00,37.32
260,আবু নছর মোহাম্মদ মকবুল আহমদ,70368,Jamaat,Jamaat-NCP,Chandpur-1,Chandpur,Chittagong,Rural,356485.0,184802.0,171680.0,3.0,2026-02-14 14:42:37.115645+00:00,19.74
261,মোঃ জালাল উদ্দিন,172506,BNP,BNP,Chandpur-2,Chandpur,Chittagong,Rural,501061.0,256500.0,244559.0,2.0,2026-02-14 14:42:37.115645+00:00,34.43
261,মোঃ বিল্লাল হোসেন,57406,LDP,Jamaat-NCP,Chandpur-2,Chandpur,Chittagong,Rural,501061.0,256500.0,244559.0,2.0,2026-02-14 14:42:37.115645+00:00,11.46
262,শেখ ফরিদ আহম্মেদ,165404,BNP,BNP,Chandpur-3,Chandpur,Chittagong,Urban,546334.0,282704.0,263628.0,2.0,2026-02-14 14:42:37.115645+00:00,30.28
262,মোঃ শাহজাহান মিয়া,100865,Jamaat,Jamaat-NCP,Chandpur-3,Chandpur,Chittagong,Urban,546334.0,282704.0,263628.0,2.0,2026-02-14 14:42:37.115645+00:00,18.46
263,মোঃ হারুনুর রশিদ,67833,BNP,BNP,Chandpur-4,Chandpur,Chittagong,Rural,400631.0,208603.0,192027.0,1.0,2026-02-14 14:42:37.115645+00:00,16.93
263,মোঃ আবদুল হান্নান,73599,Independent,no alliance,Chandpur-4,Chandpur,Chittagong,Rural,400631.0,208603.0,192027.0,1.0,2026-02-14 14:42:37.115645+00:00,18.37
264,মোঃ মমিনুল হক,123789,BNP,BNP,Chandpur-5,Chandpur,Chittagong,Rural,526679.0,269243.0,257433.0,3.0,2026-02-14 14:42:37.115645+00:00,23.5
264,মোঃ নেয়ামুল বশির,50585,LDP,Jamaat-NCP,Chandpur-5,Chandpur,Chittagong,Rural,526679.0,269243.0,257433.0,3.0,2026-02-14 14:42:37.115645+00:00,9.6
43,মোঃ শাহ্‌জাহান মিঞা,162515,BNP,BNP,Chapai Nawabganj-1,Chapai Nawabganj,Rajshahi,Rural,500181.0,255316.0,244865.0,0.0,2026-02-14 14:42:37.115645+00:00,32.49
43,মোঃ কেরামত আলী,206893,Jamaat,Jamaat-NCP,Chapai Nawabganj-1,Chapai Nawabganj,Rajshahi,Rural,500181.0,255316.0,244865.0,0.0,2026-02-14 14:42:37.115645+00:00,41.36
